id,data,cliente_id,tipo,valor,descricao,categoria
1,2026-01-05,CLI001,credito,3500.00,Salário janeiro,salario
2,2026-01-12,CLI002,debito,180.50,Supermercado,compra
3,2026-01-20,CLI001,debito,abc,Erro de sistema,compra
9,2026-01-15,CLI004,credito,4200.00,Freelance,servico
10,2026-01-22,CLI002,debito,89.90,Farmácia,compra
11,2026-01-28,CLI001,debito,250.00,Restaurante,compra
4,2026-02-03,,debito,200.00,Sem cliente,transferencia
5,2026-02-14,CLI003,credito,15000.00,Transferência suspeita,transferencia
6,2026-02-18,CLI002,debito,320.00,Conta de luz,conta
12,2026-02-05,CLI005,credito,12000.00,Bônus anual,salario
13,2026-02-10,CLI003,debito,450.00,Combustível,compra
14,2026-02-20,CLI004,debito,75.00,Estacionamento,compra
7,2026-03-01,CLI001,credito,3500.00,Salário março,salario
8,2026-03-10,CLI003,debito,99.90,Streaming,assinatura
15,2026-03-05,CLI005,debito,1200.00,Aluguel,conta
16,2026-03-12,CLI002,credito,800.00,Reembolso,transferencia
17,2026-03-18,CLI004,debito,35.50,Padaria,compra
18,2026-03-25,CLI001,debito,199.00,Internet,assinatura
21,2026-03-08,CLI001,debito,-50.00,Valor negativo,compra
22,15/03/2026,CLI002,credito,100.00,Data errada,compra
19,2026-04-02,CLI003,credito,2800.00,Salário abril,salario
20,2026-04-15,CLI002,debito,550.00,Compras diversas,compra
23,2026-04-20,CLI003,pagamento,300.00,Tipo inválido,compra
